Wk,Day,Date,Time,Venue,Team,Opponent,Team_Code,Opp_Code
23.0,Fri,2025-02-07,21:00,Estadio del Rayo Vallecano,Rayo Vallecano,Valladolid,19,25
23.0,Sat,2025-02-08,14:00,Estadio Abanca Balaídos,Celta Vigo,Real Betis,6,20
23.0,Sat,2025-02-08,16:15,San Mamés,Athletic Club,Girona,2,11
23.0,Sat,2025-02-08,17:30,Estadio de Gran Canaria,Las Palmas,Villarreal,14,26
23.0,Sat,2025-02-08,21:00,Estadio Santiago Bernabéu,Real Madrid,Atletico Madrid,21,3
23.0,Sun,2025-02-09,14:00,Estadio de Mendizorroza,Alaves,Getafe,0,10
23.0,Sun,2025-02-09,16:15,Estadio de Mestalla,Valencia,Leganes,24,15
23.0,Sun,2025-02-09,18:30,Reale Arena,Real Sociedad,Espanyol,22,9
23.0,Sun,2025-02-09,21:00,Estadio Ramón Sánchez Pizjuán,Sevilla,Barcelona,23,4
23.0,Mon,2025-02-10,21:00,Estadi Mallorca Son Moix,Mallorca,Osasuna,17,18
